cf,FIPS,tc_dev,dev_tc,tc_pdev,pdev_tc,tc_net,tc_gain,tc_loss,tc_net verbiage ,WTTC_IMP,WTTC_PDEV,WTTC_loss
monr_54063,54063,124.5598,5.4386,273.7997,6.5936,-386.3273,12.0322,398.3595,Net Loss,0.4532,0.7058,1.159
lanc_51103,51103,42.3627,14.3169,107.1023,11.1481,-124,25.465,149.465,Net Loss,0.2221,0.9272,1.1493
glou_51073,51073,107.3407,11.4587,144.3962,23.0836,-217.1946,34.5423,251.7369,Net Loss,0.599,0.5221,1.1211
nels_51125,51125,162.5089,9.6959,423.9046,4.8392,-571.8784,14.5351,586.4135,Net Loss,0.2106,0.8807,1.0913
surr_51181,51181,15.5697,28.4983,394.014,4.9264,-376.159,33.4247,409.5837,Net Loss,0.3503,0.725,1.0753
york_42133,42133,323.3096,26.5792,487.9514,191.0703,-593.6115,217.6495,811.261,Net Loss,0.3385,0.7181,1.0566
fran_42055,42055,188.643,8.775,428.7793,116.1202,-492.5271,124.8952,617.4223,Net Loss,0.4467,0.6081,1.0548
prin_51147,51147,157.0635,13.9724,712.7117,30.9465,-824.8563,44.9189,869.7752,Net Loss,0.5637,0.4851,1.0488
rock_51165,51165,211.1819,59.9209,256.638,68.0798,-339.8192,128.0007,467.8199,Net Loss,0.2992,0.7255,1.0247
nort_51133,51133,22.6807,11.2196,115.3186,12.8609,-113.9188,24.0805,137.9993,Net Loss,0.5021,0.5067,1.0088
gooc_51075,51075,156.0328,9.4965,412.8269,16.7504,-542.6128,26.2469,568.8597,Net Loss,0.7949,0.2061,1.001
brad_42015,42015,212.7879,12.3663,225.2596,42.9356,-382.7456,55.3019,438.0475,Net Loss,0.2478,0.7213,0.9691
berk_42011,42011,397.2866,40.4219,475.4679,171.7571,-660.5755,212.179,872.7545,Net Loss,0.3954,0.5731,0.9685
elk_42047,42047,327.704,6.5703,515.9085,22.7363,-814.3059,29.3066,843.6125,Net Loss,0.8927,0.0665,0.9592
talb_24041,24041,29.1374,16.0177,74.1562,71.5562,-15.7197,87.5739,103.2936,Net Loss,0.5254,0.4034,0.9288
balt_24005,24005,414.3157,23.7424,862.1566,107.2584,-1145.4715,131.0008,1276.4723,Net Loss,0.4266,0.4964,0.923
hunt_42061,42061,120.9739,11.537,301.4841,33.9783,-376.9427,45.5153,422.458,Net Loss,0.4549,0.4092,0.8641
poqu_51735,51735,8.6008,2.758,9.2826,6.0741,-9.0513,8.8321,17.8834,Net Loss,0.7769,0.0736,0.8505
scho_36095,36095,44.7497,16.4107,59.2826,46.2548,-41.3668,62.6655,104.0323,Net Loss,0.5113,0.3338,0.8451
buck_51029,51029,161.8616,57.2302,997.1739,20.4409,-1081.3644,77.6711,1159.0355,Net Loss,0.7589,0.0358,0.7947
hamp_54027,54027,157.1915,27.1049,370.1835,42.5697,-457.7004,69.6746,527.375,Net Loss,0.6206,0.1614,0.782
indi_42063,42063,382.6607,14.2373,256.4941,65.9008,-559.0167,80.1381,639.1548,Net Loss,0.7166,0,0.7166
